                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    109,                 1.6121,                 1.5957,                 1.5967,                0.51271,                0.42943,                0.42408,                0.23494,                 1.6012,                 1.5294,                 1.5429,              0.0009308,              0.0009308,              0.0009308
                    110,                 1.6257,                 1.6083,                 1.6086,                0.57775,                0.43149,                0.46703,                0.26016,                 1.5765,                 1.4709,                 1.5288,              0.0009209,              0.0009209,              0.0009209
                    111,                 1.6497,                 1.6271,                 1.6211,                0.53981,                 0.4184,                0.44268,                0.23822,                 1.6033,                 1.5246,                 1.5423,               0.000911,               0.000911,               0.000911
                    112,                 1.6325,                  1.623,                 1.6158,                0.55012,                 0.4389,                0.45964,                0.24964,                 1.5828,                 1.5458,                 1.5174,              0.0009011,              0.0009011,              0.0009011
                    113,                 1.6209,                 1.6151,                 1.6247,                0.56963,                0.44776,                0.47739,                0.26431,                 1.5754,                 1.4338,                 1.5286,              0.0008912,              0.0008912,              0.0008912
                    114,                 1.5976,                 1.6032,                 1.5993,                0.59389,                0.43829,                0.47848,                0.26854,                  1.562,                 1.4301,                 1.5133,              0.0008813,              0.0008813,              0.0008813
                    115,                 1.6304,                 1.5939,                 1.5757,                0.56278,                0.44797,                 0.4765,                0.26468,                 1.5631,                 1.4499,                 1.5089,              0.0008714,              0.0008714,              0.0008714
                    116,                 1.6049,                  1.569,                 1.5897,                 0.5773,                0.45065,                0.48172,                0.26906,                 1.5642,                 1.4102,                 1.5122,              0.0008615,              0.0008615,              0.0008615
                    117,                 1.5825,                 1.5907,                 1.6085,                0.57731,                0.42448,                0.46108,                0.26593,                 1.5469,                 1.4463,                 1.5237,              0.0008516,              0.0008516,              0.0008516
                    118,                 1.6231,                 1.5567,                 1.5904,                0.59119,                0.44921,                0.48483,                 0.2673,                   1.55,                 1.4494,                 1.5016,              0.0008417,              0.0008417,              0.0008417
                    119,                 1.5992,                  1.553,                 1.5693,                0.57174,                0.46738,                0.48706,                0.27435,                 1.5393,                 1.3961,                 1.4939,              0.0008318,              0.0008318,              0.0008318
